Designator,Mid X,Mid Y,Layer,Rotation
C1,10.29,50.8,Top,180
C2,8.89,26.16,Top,180
C3,8.89,31.37,Top,180
IC1,26.29,21.46,Top,90
IC2,8.89,43.94,Top,270
