Qty,Designator,Footprint,Comment,LCSC Part # (optional),Description (optional)
2,"C1, C2",C0805,100nF 100V,C28233,Samsung CL21B104KCFNNNE 100nF 100V 0805
1,C3,C0805,10uF 25V,C15850,Samsung CL21A106KAYNNNE  10uF 25V 0805
1,IC2,SOIC-14_150mil,"74HC32D,653",C5632,74HC 2V~6V 2uA 2 4 ORGate SOIC-14_150mil Gates ROHS
1,IC1,PLCC-32,SST39SF040-70-4C-NHE,C645936,NOR Flash 4.5 to 5.5 4Mbit Multi-Purpose Flash
